e,n,detail
2683293,1246797,Züri-WC versprayt
2684051,1250787,"FYI Ich hab im Tagi gelesen, dass man die Dinger bei euch melden kann. Habe vom letzten Mittwoch bis Samstag täglich ein dutzend dieser Mücken von meiner Wohnungsdecke gesaugt. Seit Samstag habe ich so einen elektrischen Mückenstopp installiert, jetzt schauen sie nur noch von aussen her zu. Meine Wohnung hat die Fenster Richtung Tierspital und Baustelle der Autobahneinhausung."
2686645,1250499,Tigermücken? (Nr. 3 + 4 seit Ende Juni)
2683685,1249254,Bei einem Besuch eines Freundes am Abend draussen gesessen und vermutlich eine Tigermücke erschlagen. Ich habe leider kein Bild gemacht und die Mücke weggeworfen - ich war mir des Aufrufs zur Meldung zu diesem Zeitpunkt nicht bewusst gewesen.
2683148,1247474,"Guten tag ich habe auf 20 minuten gelesen, man solle die asiatische tigermücke melden. ich bin zwar nicht sicher, ob dies eine ist, habe aber noch nie eine solch grosse mücke gesehen in der schweiz."
2681144,1250193,"Tigermücke in Höngg? (Erschlagen am 20.6.2019, leider nur per Foto festgehalten und nicht aufbewahrt)"
2681882,1243673,Handelt es sich hier um eine asiatische Tigermücke?
2685795,1250931,Handelt es sich hierbei um eine Tigermücke? Ich hoffe Ihnen mit der Meldung behilflich zu sein. Freundliche Grüsse
2682187,1244566,Tigermücke gefunden in unserer Wohnung!
2683557,1251385,Tigermücke in Oerlikon
2684235,1250825,Tigermücke entdeckt.
2684450,1251321,Tigermücke?
2679068,1249028,Tigermücken fund
2686200,1250844,Sieht nach Tigermücken aus bin aber nicht sicher
2682391,1242980,Asiatische Tigermücke. Wie geht es weiter? Soll ich das Exemplar irgendwo einschicken/vorbeibringen?
2682099,1243429,Asiatische Tigermücke
2678062,1249400,Tigermücke?
2682273,1244998,Tigermücke?
2681651,1249692,Ratten auf dem spielplatz unter dem grauen sitzbalken
2687098,1245686,Tigermücke? Gesichtet oberhalb witikon (Binz bei Maur)
2683283,1250752,Es gibt mehrere Exemplare von Tigermücken in der Gegend.
2681563,1253118,Tigermücke in der Wohnung gefunden.
2682869,1251333,"Guten Tag, könnte das eine Tigermücke sein? Gefunden in Russikon ZH (ich arbeite an der Birchstr.). Mit freundlichen Grüßen Sarah Dahinden"
2682533,1243823,Tigermücke ?
2682534,1243843,Anbei ein besseres Foto der Mücke (zur gestrigen Meldung)
2684173,1248142,Eventuell eine Tigermücke?
2682832,1253605,Habe heute diese tiegermücke beim spielplatz von der köschenrütistrasse  gesehen
2680910,1246899,"Sehr geehrte Damen und Herren <br/>  <br/> Diese Mücke haben wir heute Sonntag, 21.7 um 10 Uhr morgens in unserer Wohnung Ist es eine Tigermücke? Sollen wir etwas unternehmen? Unser Haus hat einen grossen Garten mit vielen Pflanzen und Nassstellen. Das Original schicke ich Ihnen per Post. <br/>  <br/> Vielen Dank und mit freundlichen Grüssen"
2679651,1252295,Vermutlich ein Exemplar dieser asiatischen Tiegermücke <br/>  <br/> Wald nähe Hönger Berg - siehe geodaten im Photo
2680937,1250420,Tigermücke in Zürich
2680937,1250420,Tigermücke in Höngg
2679968,1250788,Asiatische Tigermücken
2680621,1247304,"Sehr geehrte Damen und Herren, Tigermücke an Gutstrasse"
2682317,1247986,"I don't think it is, but maybe a tiger mosquito? I have it trapper in an air tight bag if useful..."
2684143,1251037,"Seit ca 2 wochen summt&brummt es erheblich in den Bäumen vor den Häusern Regensbergstrasse 37-45. Es sind wohl Bienen, aber man kann keine ""Traube"" erkennen. Hörbar ist es auch nur am frühen Morgen und Abends.Muss/Kann man etwas dagegen tun?"
2680713,1252769,"Guten Tag, Möglicher Wirt für Tigermücken vermehrung entdeckt. Schauen sie mal vorbei."
2682795,1243055,Tigermücke(?) von gestern Sonntag 21.7. ca 18.00Uhr
2685922,1250861,Tigermücke?
2679228,1248268,Ist es Tigermücke? Lg
2686972,1246103,Tigermücke ?
2683001,1243565,Tiegermücke
2681309,1242808,Tiger- oder Buschmücke entdeckt
2683969,1251116,Ev.Tiegermücke. hat 5 Ringe an den Hinterbeinen.
2679360,1251397,Könnte eine Tigermücke sein. Getötet am 23 Juli um 23 Uhr in 8049 Höngg.
2682663,1252126,"2ter Beitrag. (Foto Googel Maps) <br/>  <br/> Die Post wurde darüber informiert das dort immer wieder stehendes Wasser vorzufinden ist, dies Monatelang (Mücken wurden auch schon viele gesichtet) Die Post findet jedoch dies in Ordnung und behauptet dies sei kein Problem wegen Mücken und man sauge das Wasser ständig ab, was ich jedoch nicht so sehe. Frage mich warum es dort überhaupt einen solchen Kiestümpel braucht, Wiese oder gleich zubetonieren wäre besser ?"
2679924,1250661,Ist das eine asiatische Buschmücke oder eine Tigermücke?
2681726,1251737,Vom Aussehen her scheint sie die Merkmale der Tigermücke zu besitzen. Heute morgen in der Küche getötet..
2681977,1247371,"Hallo <br/>  <br/> Diese Mücke lag heute Morgen im Waschbecken, bin mir wegen der Berichterstattung nun unsicher, ob das die berüchtigte Tigermücke ist. <br/>  <br/> Merci für Ihren Rat"
2679993,1250808,Found the Tiegermücke at home. Our laundry  is full of these insects right now due to water stagnations.
2686549,1246280,"Tiegermücke, gefunden auf dem Robinsonspielplatz Buchholz in Witikon."
2681221,1252035,Sieht aus wie eine Asiatische Tigermücke
